,ID,Title,Year,Rating,IMDb,Rotten Tomatoes,Genre,Netflix,Amazon Prime Video
17708,17709,Land of Oblivion,2012,,6.3,42,Drama,0,1
18489,18490,Good Satan,2012,,6.3,37,Comedy,0,1
18914,18915,Made in China,2012,,6.3,30,Action,0,1
19176,19177,Made in China,2012,,6.3,30,Comedy,0,1
19373,19374,Edge of Salvation,2012,,6.3,30,Drama,0,1
19970,19971,Pluto,2012,,6.3,56,Drama,0,1
23207,23208,26 Years,2012,,6.3,42,Drama,1,0
23818,23819,Todd Glass Stand-Up Special,2012,,6.3,38,Comedy,1,0
234,235,Programming the Nation?,2011,all,6.3,49,Documentary,0,1
6921,6922,"Love, Wrinkle-free",2011,,6.3,33,Romance,0,1
9114,9115,Journey of the Universe,2011,all,6.3,43,Documentary,0,1
10370,10371,"Lord, All Men Can't Be Dogs",2011,,6.3,41,Comedy,0,1
14014,14015,The Wise Kids,2011,,6.3,63,Drama,0,1
20768,20769,A California Christmas,2020,13+,5.7,56,Comedy,1,0
17374,17375,The Finger,2011,,6.3,37,Comedy,0,1
23385,23386,One-Way to Tomorrow,2020,18+,5.7,50,Comedy,1,0
18640,18641,"Love, Wrinkle-free",2011,,6.3,33,Comedy,0,1
20365,20366,Policeman,2011,,6.3,51,Drama,0,1
10357,10358,An Innocent Kiss,2019,13+,5.7,35,Comedy,0,1
14492,14493,The Fighting Preacher,2019,7+,5.7,48,Comedy,0,1
20946,20947,Good Sam,2019,7+,5.7,44,Comedy,1,0
20956,20957,Happy Anniversary,2018,18+,5.7,61,Comedy,1,0
698,699,All Nighter,2017,18+,5.7,50,Comedy,0,1
24657,24658,The Ant's Scream,2011,,6.3,33,Drama,1,0
15270,15271,Vampire Cleanup Department,2017,18+,5.7,50,Comedy,0,1
21659,21660,Little Evil,2017,18+,5.7,69,Comedy,1,0
21689,21690,El Camino Christmas,2017,18+,5.7,56,Comedy,1,0
21340,21341,The Do-Over,2016,18+,5.7,60,Comedy,1,0
21489,21490,LEGO Jurassic World: The Indominus Escape,2016,7+,5.7,45,Comedy,1,0
22037,22038,Mascots,2016,18+,5.7,57,Comedy,1,0
22604,22605,Wild Oats,2016,13+,5.7,47,Comedy,1,0
23494,23495,Ricardo O'Farrill: Abrazo Genial,2016,18+,5.7,35,Comedy,1,0
2414,2415,Chi-Raq,2015,18+,5.7,66,Comedy,0,1
7097,7098,Entertainment,2015,18+,5.7,59,Comedy,0,1
15589,15590,Kis Kisko Pyaar Karoon,2015,13+,5.7,46,Comedy,0,1
22525,22526,¡Asu Mare! 2,2015,18+,5.7,36,Comedy,1,0
